"userSet","dbSet","collection","pValueLog","oddsRatio","support","rnkPV","rnkOR","rnkSup","maxRnk","meanRnk","b","c","d","description","cellType","tissue","antibody","treatment","dataSource","filename","size"
1,12,"chr_feature",42.5235479885164,3.20889007070344,2648,1,2,2,2,1.67,102,69689,8614,NA,NA,NA,NA,NA,NA,"transposable_elements.bed",524
1,4,"chr_feature",5.30735972496182,1.12671197278471,56609,2,6,1,6,3,6638,15728,2078,NA,NA,NA,NA,NA,NA,"gene.bed",6572
1,7,"chr_feature",2.06888752119376,3.0754354626636,102,3,3,7,7,4.33,4,72235,8712,NA,NA,NA,NA,NA,NA,"rRNA_gene.bed",22
1,9,"chr_feature",1.17493963596677,1.59781927939301,159,4,5,6,6,5,12,72178,8704,NA,NA,NA,NA,NA,NA,"snoRNA_gene.bed",77
1,8,"chr_feature",0.938873826037381,Inf,19,5,1,12,12,6,0,72318,8716,NA,NA,NA,NA,NA,NA,"snRNA_gene.bed",6
1,1,"chr_feature",0.696349810724691,1.71756049792279,57,6,4,10,10,6.67,4,72280,8712,NA,NA,NA,NA,NA,NA,"Mating_loci.bed",3
1,10,"chr_feature",0.448965166656402,1.0791041839569,376,7,7,5,7,6.33,42,71961,8674,NA,NA,NA,NA,NA,NA,"tRNA_gene.bed",275
1,3,"chr_feature",0.0843931495838978,0.722863800999541,24,8,8,11,11,9,4,72313,8712,NA,NA,NA,NA,NA,NA,"centromere.bed",64
1,5,"chr_feature",0.00313411469072199,0.547673417559009,91,9,10,8,10,9,20,72246,8696,NA,NA,NA,NA,NA,NA,"ncRNA_gene.bed",17
1,6,"chr_feature",0.00274931736048276,0.489569340077222,61,10,11,9,11,10,15,72276,8701,NA,NA,NA,NA,NA,NA,"pseudogene.bed",12
1,2,"chr_feature",6.36243812192367e-05,0.71867386208233,893,11,9,3,11,7.67,149,71444,8567,NA,NA,NA,NA,NA,NA,"Replication_origins.bed",548
1,11,"chr_feature",0,0.121517370877517,493,12,12,4,12,9.33,466,71844,8250,NA,NA,NA,NA,NA,NA,"telomere.bed",63
