gene_id,name,region_length,reads,cpm_evseq,fpkm_evseq,ev_abundance
YLR154W-F,YLR154W-F,141,2296,1342.570718860078,2177.098679,preferentially_represented
YLR154W-A,YLR154W-A,186,2975,1739.611449742479,2138.451323,preferentially_represented
YLR154W-B,YLR154W-B,165,2568,1501.620908550819,2080.829127,preferentially_represented
YLR154C-G,YLR154C-G,150,2226,1301.6386847484903,1984.080296,preferentially_represented
YBR095C,YBR095C,1293,18307,10704.896406869098,1892.971171,preferentially_represented
YBR094W,YBR094W,2262,29375,17176.83574325557,1736.24344,preferentially_represented
YGL082W,YGL082W,1146,14635,8557.718846044094,1707.392826,preferentially_represented
YLR154W-E,YLR154W-E,204,2564,1499.2819351730138,1680.402026,preferentially_represented
YNR073C,YNR073C,1509,17880,10455.210998788412,1584.176687,preferentially_represented
YNL050C,YNL050C,904,10459,6115.83063961566,1546.84599,preferentially_represented
YBR096W,YBR096W,693,7953,4650.463818420819,1534.345242,preferentially_represented
YNL051W,YNL051W,1212,12855,7516.875692920863,1418.060645,preferentially_represented
YLR154W-C,YLR154W-C,375,3873,2264.7109730597044,1380.834319,preferentially_represented
YNR072W,YNR072W,1695,14147,8272.364093951881,1115.886425,preferentially_represented
YNL052W,YNL052W,462,3510,2052.4491390238995,1015.758544,preferentially_represented
YGR149W,YGR149W,1299,9754,5703.586581777527,1003.919623,preferentially_represented
YDR524W-C,YDR524W-C,90,673,393.5322708156936,999.764929,preferentially_represented
YMR260C,YMR260C,462,3050,1783.4672005763232,882.6391907,preferentially_represented
YNL048W,YNL048W,1647,10752,6287.160439539877,872.8125851,preferentially_represented
YDL114W-A,YDL114W-A,114,717,419.2609779715487,840.8908901,preferentially_represented
YHL015W,YHL015W,366,2246,1313.3335516375153,820.4535712,preferentially_represented
YMR258C,YMR258C,1662,9379,5484.307827608306,754.4854337,preferentially_represented
YNL049C,YNL049C,2631,14740,8619.116897211477,749.034771,preferentially_represented
YGR150C,YGR150C,2595,13861,8105.127497438824,714.1386603,preferentially_represented
YMR229C,YMR229C,5190,25482,14900.42990330684,656.4346491,preferentially_represented
YBR097W,YBR097W,4365,21094,12334.57610785474,646.10044,preferentially_represented
YPL056C,YPL056C,306,1407,822.7338856429136,614.7492593,preferentially_represented
YGR148C,YGR148C,867,3815,2230.795859081532,588.3026274,preferentially_represented
YDL115C,YDL115C,1132,4673,2732.5056486207077,551.9181768,preferentially_represented
YNR075W,YNR075W,1125,4349,2543.0488050185013,516.847272,preferentially_represented
YPL055C,YPL055C,999,3767,2202.728178547872,504.1450126,preferentially_represented
YHL016C,YHL016C,2208,8217,4804.83606135595,497.5532428,preferentially_represented
YLR248W,YLR248W,1833,6816,3985.6106357797435,497.1557422,preferentially_represented
YLR247C,YLR247C,4671,17205,10060.509241283817,492.4590839,preferentially_represented
YHL014C,YHL014C,1218,4431,2590.997759263504,486.3845878,preferentially_represented
YMR259C,YMR259C,4263,15402,9006.216991238205,483.0444867,preferentially_represented
YGR105W,YGR105W,234,842,492.35389602795544,481.0847355,preferentially_represented
YGL132W,YGL132W,336,1205,704.6157300637605,479.4828882,preferentially_represented
YLR346C,YLR346C,306,1080,631.5228120073538,471.875764,preferentially_represented
YLR243W,YLR243W,819,2878,1682.8913453307075,469.8207902,preferentially_represented
YGR103W,YGR103W,1818,6327,3699.671140343081,465.2959782,preferentially_represented
YPL054W,YPL054W,906,3098,1811.5348811099832,457.1708791,preferentially_represented
YPL057C,YPL057C,1149,3915,2289.2701935266573,455.5510803,preferentially_represented
YDL114W,YDL114W,927,3148,1840.7720483325459,454.0255913,preferentially_represented
YHL017W,YHL017W,1599,5259,3075.1652484691417,439.7238788,preferentially_represented
YNL114C,YNL114C,372,1216,711.0479068527243,437.0347578,preferentially_represented
YGR152C,YGR152C,819,2647,1547.8156327624679,432.1110604,preferentially_represented
YNL113W,YNL113W,429,1380,806.9458153427297,430.0779108,preferentially_represented
YLR388W,YLR388W,664,2134,1247.842297058975,429.6864701,preferentially_represented
YJL197C-A,YJL197C-A,282,904,528.6079833839332,428.592597,preferentially_represented
YGR104C,YGR104C,924,2940,1719.1454326866851,425.4031509,preferentially_represented
YKL180W,YKL180W,861,2675,1564.188446407103,415.3803788,preferentially_represented
YER099C,YER099C,957,2943,1720.8996627200388,411.1531932,preferentially_represented
YPL174C,YPL174C,2607,7899,4618.887677820451,405.0945737,preferentially_represented
YMR230W-A,YMR230W-A,189,572,334.473193026117,404.6313871,preferentially_represented
YDL116W,YDL116W,2181,6558,3834.7468529113203,402.0139189,preferentially_represented
YHL013C,YHL013C,924,2767,1617.9848340966182,400.3709247,preferentially_represented
YGR102C,YGR102C,552,1647,963.0722883112145,398.9145386,preferentially_represented
YLR154C-H,YLR154C-H,132,388,226.88041764708635,392.9914823,preferentially_represented
YLR246W,YLR246W,1080,3164,1850.127941843766,391.6860123,preferentially_represented
YGR147C,YGR147C,867,2537,1483.49386487283,391.2251024,preferentially_represented
YER100W,YER100W,753,2185,1277.6642076259889,387.9554063,preferentially_represented
