chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,139151,139254,tP%28UGG%29A,0,+,2,41,103,2.5960802552665485
I,166266,166339,tA%28UGC%29A,0,+,15,73,73,27.472219139635737
I,181140,181254,tL%28CAA%29A,0,+,19,114,114,22.283022191037876
I,182521,182603,tS%28AGA%29A,0,-,3,82,82,4.891395115105875
II,9582,9666,tL%28UAA%29B1,0,+,2,80,84,3.183288884433982
II,36397,36488,tF%28GAA%29B,0,+,7,91,91,10.28447178047902
II,197493,197567,tI%28AAU%29B,0,+,0,0,74,0.0
II,197628,197699,tG%28GCC%29B,0,-,0,0,71,0.0
II,227074,227156,tS%28AGA%29B,0,+,7,82,82,11.413255268580375
II,266377,266450,tT%28AGU%29B,0,+,21,73,73,38.46110679549003
II,326791,326865,tV%28UAC%29B,0,-,16,74,74,28.907704464049136
II,347602,347686,tL%28UAA%29B2,0,+,6,84,84,9.549866653301947
II,350826,350898,tQ%28UUG%29B,0,+,26,72,72,48.2798814139154
II,405877,405949,tR%28UCU%29B,0,+,2,72,72,3.713837031839646
II,405959,406031,tD%28GUC%29B,0,+,2,72,72,3.713837031839646
II,643006,643078,tC%28GCA%29B,0,-,27,72,72,50.13679992983522
II,645166,645238,tE%28UUC%29B,0,+,30,72,72,55.70755547759469
III,82461,82533,tE%28UUC%29C,0,-,3,72,72,5.570755547759469
III,90858,90972,tL%28CAA%29C,0,+,40,114,114,46.911625665342896
III,123576,123648,tP%28AGG%29C,0,-,6,72,72,11.141511095518938
III,127715,127789,tN%28GUU%29C,0,+,36,74,74,65.04233504411056
III,142700,142771,tG%28GCC%29C,0,-,2,71,71,3.7661445956683735
III,149919,149991,tM%28CAU%29C,0,+,0,0,72,0.0
III,151283,151356,tK%28CUU%29C,0,-,0,0,73,0.0
III,168300,168372,tQ%28UUG%29C,0,-,4,37,72,7.427674063679292
III,227941,228042,tS%28CGA%29C,0,+,65,101,101,86.04335301489873
III,295483,295556,tT%28AGU%29C,0,+,2,63,73,3.6629625519514315
IV,83547,83618,tG%28GCC%29D1,0,+,6,71,71,11.29843378700512
IV,359576,359672,tK%28UUU%29D,0,+,0,0,96,0.0
IV,410378,410451,tA%28AGC%29D,0,+,5,73,73,9.157406379878578
IV,434263,434336,tT%28AGU%29D,0,-,17,73,73,31.135181691587167
IV,437771,437853,tS%28AGA%29D1,0,+,29,82,82,47.28348611269013
IV,488796,488870,tV%28UAC%29D,0,-,106,74,74,191.51354207432553
IV,519742,519826,tL%28UAA%29D,0,+,44,84,84,70.03235545754761
IV,520971,521043,tQ%28UUG%29D1,0,+,38,72,72,70.56290360495328
IV,568881,568953,tR%28UCU%29D,0,+,0,0,72,0.0
IV,568963,569035,tD%28GUC%29D,0,+,0,0,72,0.0
IV,619968,620041,tR%28ACG%29D,0,-,13,73,73,23.809256587684306
IV,645152,645224,tQ%28UUG%29D2,0,-,67,72,72,124.41354056662814
IV,668006,668080,tI%28AAU%29D,0,-,3,74,74,5.420194587009213
IV,802730,802802,tQ%28UUG%29D3,0,-,9,72,72,16.712266643278408
IV,884360,884493,tI%28UAU%29D,0,+,2,104,133,2.0104982428004097
IV,946311,946400,tY%28GUA%29D,0,+,28,89,89,42.062334023532166
IV,980973,981055,tS%28AGA%29D2,0,-,48,82,82,78.262321841694
IV,992831,992902,tG%28GCC%29D2,0,+,23,71,71,43.31066285018629
IV,1017206,1017278,tE%28CUC%29D,0,-,4,72,72,7.427674063679292
IV,1075471,1075544,tV%28CAC%29D,0,-,42,73,73,76.92221359098006
IV,1095369,1095461,tF%28GAA%29D,0,-,103,92,92,149.68377950066747
IV,1150841,1150941,tX%28XXX%29D,0,-,22,100,100,29.413589292169995
IV,1175828,1175901,tM%28CAU%29D,0,+,33,73,73,60.43888210719862
IV,1201749,1201822,tK%28CUU%29D1,0,+,39,73,73,71.42776976305292
IV,1257007,1257079,tG%28CCC%29D,0,-,8,72,72,14.855348127358583
IV,1305629,1305712,tS%28AGA%29D3,0,+,5,83,83,8.054104406399231
IV,1352465,1352538,tK%28CUU%29D2,0,-,16,73,73,29.303700415611452
IV,1461714,1461829,tL%28CAA%29D,0,-,149,115,115,173.22627685902486
V,61889,61960,tG%28GCC%29E,0,-,3,71,71,5.64921689350256
V,86603,86685,tS%28AGA%29E,0,+,2,74,82,3.26093007673725
V,100132,100204,tM%28CAU%29E,0,+,7,72,72,12.99842961143876
V,131081,131153,tQ%28UUG%29E2,0,-,5,72,72,9.284592579599115
V,135424,135497,tK%28CUU%29E1,0,-,8,73,73,14.651850207805726
V,138665,138737,tR%28UCU%29E,0,+,55,72,72,102.13051837559026
V,177098,177170,tE%28UUC%29E1,0,+,221,72,72,410.3789920182809
V,207356,207428,tH%28GUG%29E1,0,+,2,72,72,3.713837031839646
V,250285,250357,tQ%28UUG%29E1,0,+,3,72,72,5.570755547759469
V,288442,288524,tS%28UGA%29E,0,-,2,82,82,3.26093007673725
V,312022,312095,tA%28UGC%29E,0,-,4,73,73,7.325925103902863
