name,region_length,reads,cpm_evseq,fpkm_evseq,gene_id,count,cpm_srr,fpkm_srr,srr_abundance,
YLR154W-C,375,3873,2264.710973,6039.229261,YLR154W-C,39833,9968.5051,53883.81135,preferentially_represented,3893.251476
YLR110C,402,0,0,0,YLR110C,60722,15196.13302,37895.59357,preferentially_represented,
YGR192C,999,37,21.63550374,21.65716091,YGR192C,147301,36863.17299,36937.04708,preferentially_represented,
YHL015W,366,2246,1313.333552,3588.343037,YHL015W,8238,2061.620892,24838.80593,preferentially_represented,
YLR154C-G,150,2226,1301.638685,8677.591232,YLR154C-G,11547,2889.722802,19394.11277,preferentially_represented,
YHR174W,1314,75,43.85575083,33.37576167,YHR174W,99932,25008.72773,19047.01274,preferentially_represented,
YLR154W-F,141,2296,1342.570719,9521.778148,YLR154W-F,10336,2586.661028,18476.1502,preferentially_represented,
YKL060C,1080,139,81.27932488,75.25863415,YKL060C,67632,16925.41202,15686.20206,preferentially_represented,
YLR167W,459,21,12.27961023,26.75296347,YLR167W,25649,6418.853395,14014.96375,preferentially_represented,
YPR080W,1377,197,115.1944389,83.65609213,YPR080W,74435,18627.91347,13537.72781,preferentially_represented,
YLR154W-A,186,2975,1739.61145,9352.74973,YLR154W-A,9910,2480.051353,13405.68299,preferentially_represented,
YBR118W,1377,531,310.4987159,225.4892635,YBR118W,71649,17930.6962,13031.02922,preferentially_represented,
YAL037C-B,975,38,22.22024709,22.78999701,YAL037C-B,46452,11624.95918,11935.27636,preferentially_represented,
YOL086C,1047,9,5.2626901,5.026447087,YOL086C,49880,12482.84172,11933.8831,preferentially_represented,
YAL038W,1503,60,35.08460067,23.34304768,YAL038W,70946,17754.76521,11820.74914,preferentially_represented,
YKL096W-A,279,2,1.169486689,4.191708562,YKL096W-A,12358,3092.681596,11124.75394,preferentially_represented,
YLR044C,1692,1103,644.9719089,381.1890715,YLR044C,67108,16794.27711,9931.565413,preferentially_represented,
YDR077W,1017,24,14.03384027,13.79925297,YDR077W,35777,8953.460873,8812.461489,preferentially_represented,
YEL034C-A,603,13,7.601663478,12.60640709,YEL034C-A,19061,4770.157299,7923.849334,preferentially_represented,
YKL056C,504,20,11.69486689,23.20410097,YKL056C,15550,3891.503384,7736.587245,preferentially_represented,
YDL133C-A,78,11,6.432176789,82.46380499,YDL133C-A,2376,594.6117068,7722.229958,preferentially_represented,
YGL123C-A,231,20,11.69486689,50.62712939,YGL123C-A,6719,1681.479822,7310.781836,preferentially_represented,
YGL123W,765,44,25.72870716,33.63229694,YGL123W,22067,5522.431201,7228.31309,preferentially_represented,
YJR123W,678,19,11.11012354,16.3866129,YJR123W,19165,4796.184074,7084.466875,preferentially_represented,
YEL034W,474,3,1.754230033,3.700907243,YEL034W,16579,4149.018303,6892.056981,preferentially_represented,
YOL040C,429,33,19.29653037,44.98025727,YOL040C,11348,2839.921569,6635.330769,preferentially_represented,
YGL102C,429,4,2.338973378,5.452152396,YGL102C,10948,2739.818588,6401.4453,preferentially_represented,
YDL184C,78,4,2.338973378,29.98683818,YDL184C,1949,487.7517746,6334.438632,preferentially_represented,
YOR369C,432,17,9.940636856,23.01073346,YOR369C,10679,2672.499334,6200.69451,preferentially_represented,
YLR076C,423,2,1.169486689,2.764743945,YLR076C,10448,2614.689862,6195.947541,preferentially_represented,
YKL152C,744,4,2.338973378,3.143781422,YKL152C,18208,4556.687692,6132.823274,preferentially_represented,
YKL153W,510,3,1.754230033,3.439666732,YKL153W,12402,3103.692924,6097.628535,preferentially_represented,
YLR075W,666,2,1.169486689,1.755986019,YLR075W,16131,4036.902964,6070.530773,preferentially_represented,
YDL228C,642,44,25.72870716,40.07586784,YDL228C,15530,3886.498235,6063.179774,preferentially_represented,
YBR191W,871,129,75.43189143,86.60377891,YBR191W,7427,1858.662099,5976.405462,preferentially_represented,
YJR009C,999,8,4.677946756,4.682629385,YJR009C,22886,5727.392055,5738.869794,preferentially_represented,
YLR029C,615,0,0,0,YLR029C,13848,3465.5652,5644.242997,preferentially_represented,
YOR167C,204,12,7.016920133,34.39666732,YOR167C,4315,1079.860907,5319.511857,preferentially_represented,
YLR340W,939,10,5.847433445,6.227298663,YLR340W,19668,4922.063573,5247.40253,preferentially_represented,
YNL162W,833,170,99.40636856,119.3353764,YNL162W,4555,1139.922695,5229.00319,preferentially_represented,
YPL142C,318,34,19.88127371,62.51972865,YPL142C,6564,1642.689917,5181.987121,preferentially_represented,
YLR325C,237,1,0.584743344,2.467271496,YLR325C,4870,1218.753793,5164.210987,preferentially_represented,
YML063W,768,534,312.2529459,406.5793567,YML063W,15560,3894.005959,5076.930846,preferentially_represented,
YNL178W,723,65,38.00831739,52.57028685,YNL178W,14607,3655.510607,5063.034081,preferentially_represented,
YLR154W-B,165,2568,1501.620909,9100.732779,YLR154W-B,3307,827.6013949,5046.349969,preferentially_represented,
YIL018W,1165,45,26.3134505,22.58665279,YIL018W,23468,5873.041892,5045.568636,preferentially_represented,
YDL081C,321,4,2.338973378,7.286521426,YDL081C,6389,1598.894863,4996.546447,preferentially_represented,
YCR012W,1251,9,5.2626901,4.206786651,YCR012W,24782,6201.880184,4961.504147,preferentially_represented,
YDL229W,1842,201,117.5334122,63.8074985,YDL229W,36457,9123.63594,4955.804422,preferentially_represented,
YMR116C,1233,148,86.54201498,70.18817111,YMR116C,23643,5916.836946,4802.627391,preferentially_represented,
YPL131W,894,3,1.754230033,1.962225988,YPL131W,16983,4250.122313,4759.375491,preferentially_represented,
YJL190C,393,182,106.4232887,270.7971722,YJL190C,7424,1857.911326,4739.56971,preferentially_represented,
YDR524C-B,201,1,0.584743344,2.909170868,YDR524C-B,4458,1115.647723,4667.982103,preferentially_represented,
YDR012W,1089,339,198.2279938,182.0275425,YDR012W,19732,4938.08005,4538.676516,preferentially_represented,
YDR418W,498,64,37.42357404,75.14773905,YDR418W,6711,1679.477763,4526.894239,preferentially_represented,
YPL250W-A,288,5,2.923716722,10.15179417,YPL250W-A,5161,1291.578712,4500.274256,preferentially_represented,
YOL039W,321,38,22.22024709,69.22195355,YOL039W,5752,1439.480866,4498.377706,preferentially_represented,
YDR382W,333,32,18.71178702,56.19155262,YDR382W,5807,1453.245026,4377.244054,preferentially_represented,
YBR031W,1089,53,30.99139726,28.45858334,YBR031W,18809,4707.092421,4326.371711,preferentially_represented,
YDL130W,622,14,8.186406822,13.16142576,YDL130W,4493,1124.406733,4324.641282,preferentially_represented,
YLR339C,552,5,2.923716722,5.296588265,YLR339C,9014,2255.820676,4094.048413,preferentially_represented,
YMR305C,1170,53,30.99139726,26.48837372,YMR305C,5693,1424.715676,4070.616218,preferentially_represented,
YLR121C,1527,214,125.1350757,81.94831415,YLR121C,1604,401.4129536,3974.385679,preferentially_represented,
YDR050C,747,19,11.11012354,14.87299002,YDR050C,11621,2908.241854,3898.447525,preferentially_represented,
YNL209W,1842,410,239.7447712,130.1545989,YNL209W,28599,7157.11288,3887.622423,not_preferential,
YPL220W,654,65,38.00831739,58.11669326,YPL220W,10055,2516.338683,3853.504875,not_preferential,
YCR013C,648,4,2.338973378,3.609526818,YCR013C,9877,2471.792857,3820.390814,not_preferential,
YGL189C,738,127,74.26240475,100.6265647,YGL189C,11189,2800.130634,3799.36314,not_preferential,
YDR385W,2529,178,104.0843153,41.1563129,YDR385W,38307,9586.612227,3792.172558,not_preferential,
YFL039C,1437,760,444.4049418,309.2588321,YFL039C,21327,5337.240686,3716.741425,not_preferential,
YLL045C,771,0,0,0,YLL045C,11245,2814.145052,3654.733833,not_preferential,
YLL044W,447,0,0,0,YLL044W,6354,1590.135852,3565.327023,not_preferential,
YFL031W,969,9,5.2626901,5.431052735,YFL031W,4557,1140.42321,3563.822532,not_preferential,
YPR044C,354,76,44.44049418,125.5381191,YPR044C,5003,1252.038034,3546.849955,not_preferential,
YOR063W,1164,31,18.12704368,15.57306158,YOR063W,16358,4093.711406,3519.958216,not_preferential,
YLR048W,1118,284,166.0671098,148.5394542,YLR048W,15484,3874.986392,3469.101515,not_preferential,
YOR133W,2529,70,40.93203411,16.18506687,YOR133W,34902,8734.485602,3455.097153,not_preferential,
YGL135W,654,32,18.71178702,28.61129514,YGL135W,8801,2202.515838,3372.918588,not_preferential,
YPL249C-A,541,12,7.016920133,12.97027751,YPL249C-A,7183,1797.59928,3328.887556,not_preferential,
YCR031C,721,151,88.29624501,122.4635853,YCR031C,9315,2331.148169,3237.70579,not_preferential,
YDR524W-C,90,673,393.5322708,4372.580787,YDR524W-C,1149,287.5458128,3230.851829,not_preferential,
YGL147C,576,14,8.186406822,14.21251184,YGL147C,7162,1792.343874,3117.11978,not_preferential,
YEL054C,498,5,2.923716722,5.870917113,YEL054C,6163,1542.336679,3103.293116,not_preferential,
YJL188C,309,183,107.008032,346.3043108,YJL188C,3780,945.9731699,3071.341461,not_preferential,
YIL148W,821,123,71.92343137,87.60466671,YIL148W,10046,2514.086366,3065.958983,not_preferential,
YBL072C,918,138,80.69458153,87.90259426,YBL072C,11218,2807.388101,3061.491931,not_preferential,
YJR145C,1042,57,33.33037063,31.98691999,YJR145C,12278,3072.661,2951.643612,not_preferential,
YLR441C,768,100,58.47433445,76.13845631,YLR441C,9034,2260.825825,2947.621675,not_preferential,
YHR183W,1470,40,23.38973378,15.91138352,YHR183W,5383,1347.135866,2848.06737,not_preferential,
YFR031C-A,912,66,38.59306073,42.31695256,YFR031C-A,10342,2588.162572,2841.012703,not_preferential,
YER102W,970,872,509.8961964,525.6661818,YER102W,10978,2747.326312,2835.218072,not_preferential,
YHR064C,1617,58,33.91511398,20.97409646,YHR064C,3773,944.2213677,2818.571247,not_preferential,
YML024W,809,100,58.47433445,72.27977064,YML024W,8755,2191.003995,2711.638608,not_preferential,
YJL159W,1242,0,0,0,YJL159W,13319,3333.179008,2685.881554,not_preferential,
YGL030W,548,108,63.1522812,115.2413891,YGL030W,5857,1465.757898,2679.630527,not_preferential,
YPL187W,498,106,61.98279451,124.4634428,YPL187W,5276,1320.358319,2656.656577,not_preferential,
YLR062C,378,56,32.74562729,86.62864362,YLR062C,3934,984.5128176,2611.439834,not_preferential,
YPR102C,525,4,2.338973378,4.455187386,YPR102C,5418,1355.894877,2587.585643,not_preferential,
YMR142C,1002,4,2.338973378,2.334304768,YMR142C,10051,2515.337654,2512.824829,not_preferential,
YGR282C,942,358,209.3381173,222.2273008,YGR282C,9433,2360.678548,2508.691337,not_preferential,
YLR154W-E,204,2564,1499.281935,7349.421251,YLR154W-E,2028,507.5221134,2500.108933,not_preferential,
YGL103W,961,15,8.771150167,9.127107354,YGL103W,9577,2396.715621,2496.578772,not_preferential,
YOL127W,843,11,6.432176789,7.630102953,YOL127W,8399,2101.912342,2496.332948,not_preferential,
YOL120C,1008,10,5.847433445,5.801025243,YOL120C,9997,2501.823751,2484.432722,not_preferential,
YBL092W,726,4,2.338973378,3.221726416,YBL092W,7123,1782.583833,2458.736322,not_preferential,
YDR064W,995,526,307.5749992,309.1206022,YDR064W,9570,2394.963819,2409.420341,not_preferential,
YHR052W-A,195,196,114.6096955,587.7420283,YHR052W-A,1859,465.2286039,2398.085587,not_preferential,
YNL069C,1046,13,7.601663478,7.267364702,YNL069C,9991,2500.322206,2392.652829,not_preferential,
YBR196C,1665,6,3.508460067,2.107183223,YBR196C,15394,3852.463222,2315.182224,not_preferential,
YHR054W-A,195,224,130.9825092,671.7051752,YHR054W-A,1794,448.9618695,2314.236441,not_preferential,
YHR141C,762,45,26.3134505,34.53208727,YHR141C,6852,1714.764064,2253.303631,not_preferential,
YDR417C,372,51,29.82191057,80.16642626,YDR417C,3322,831.3552567,2240.849749,not_preferential,
YLR150W,822,31,18.12704368,22.05236457,YLR150W,7312,1829.882492,2228.845909,not_preferential,
YKR094C,755,24,14.03384027,18.5878679,YKR094C,6641,1661.959741,2204.190638,not_preferential,
YHR021C,799,51,29.82191057,37.32404326,YHR021C,7028,1758.809375,2204.021773,not_preferential,
YFR032C-A,514,34,19.88127371,38.67952084,YFR032C-A,4495,1124.907248,2192.801654,not_preferential,
YML026C,842,51,29.82191057,35.41794604,YML026C,7283,1822.625025,2167.211683,not_preferential,
YDL185W,3216,60,35.08460067,10.90939075,YDL185W,1965,491.7558939,2166.325524,not_preferential,
YLR249W,3135,1059,619.2432018,197.5257422,YLR249W,26820,6711.904872,2141.641631,not_preferential,
YOR312C,945,20,11.69486689,12.37552052,YOR312C,8014,2005.563223,2124.537313,not_preferential,
YDL191W,854,59,34.49985732,40.39795939,YDL191W,7154,1790.341814,2098.876687,not_preferential,
