chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
XII,451574,451785,ETS2-1,0,-,2019,211,211,1279.3200512902029
XII,451574,458432,RDN37-1,0,-,53988,6858,6858,1052.5072633856105
XII,451785,455181,RDN25-1,0,-,27968,3396,3396,1101.0805028956665
XII,455181,455413,ITS2-1,0,-,2674,232,232,1540.986241521602
XII,455413,455571,RDN58-1,0,-,2207,158,158,1867.5429104666048
XII,455571,455932,ITS1-1,0,-,3871,361,361,1433.6439706621763
XII,455932,457732,RDN18-1,0,-,14764,1800,1800,1096.6217987616105
XII,457732,458432,ETS1-1,0,-,7039,700,700,1344.430227451848
XII,459675,459796,RDN5-1,0,+,2560,121,121,2828.6547178044775
XII,460711,460922,ETS2-2,0,-,2894,211,211,1833.7554375601028
XII,460711,467569,RDN37-2,0,-,54668,6858,6858,1065.7640044966392
XII,460922,464318,RDN25-2,0,-,27903,3396,3396,1098.5214985804414
XII,464318,464550,ITS2-2,0,-,2756,232,232,1588.2416161681133
XII,464550,464708,RDN58-2,0,-,2433,158,158,2058.7820123086767
XII,464708,465069,ITS1-2,0,-,3991,361,361,1478.0865633977644
XII,465069,466869,RDN18-2,0,-,14645,1800,1800,1087.7828666258322
XII,466869,467569,ETS1-2,0,-,6879,700,700,1313.870654161282
XII,468812,468931,RDN5-2,0,+,457,118,119,513.4457718304693
XII,472464,472583,RDN5-3,0,+,2,91,119,2.247027447835752
XII,482044,482163,RDN5-4,0,+,2,111,119,2.247027447835752
XII,485696,485815,RDN5-5,0,+,3,111,119,3.370541171753628
XII,489348,489469,RDN5-6,0,+,4,121,121,4.419772996569496
