Gene,name,region_length,reads,count,cpm_srr,fpkm_srr,srr_abundance
YLR154W-F,YLR154W-F,141,2296,10336,2586.6610275320736,18476.15019665767,preferentially_represented
YLR154W-A,YLR154W-A,186,2975,9910,2480.051352829223,13405.682988266071,preferentially_represented
YLR154W-B,YLR154W-B,165,2568,3307,827.6013949350394,5046.349969116094,preferentially_represented
YLR154C-G,YLR154C-G,150,2226,11547,2889.7228023329003,19394.1127673349,preferentially_represented
YLR154W-C,YLR154W-C,375,3873,39833,9968.505099621236,53883.81134930398,preferentially_represented
YHL015W,YHL015W,366,2246,8238,2061.6208924931525,24838.80593365244,preferentially_represented
YML063W,YML063W,768,534,15560,3894.0059586299403,5076.93084567137,preferentially_represented
YLR044C,YLR044C,1692,1103,67108,16794.277112579566,9931.565412524877,preferentially_represented
YJL190C,YJL190C,393,182,7424,1857.9113262769074,4739.56970989007,preferentially_represented
YBR118W,YBR118W,1377,531,71649,17930.696203719577,13031.02921781946,preferentially_represented
YDR012W,YDR012W,1089,339,19732,4938.0800498512845,4538.67651640743,preferentially_represented
YNL162W,YNL162W,833,170,4555,1139.922695472968,5229.003190242972,preferentially_represented
YBR191W,YBR191W,871,129,7427,1858.6620986339697,5976.405461845562,preferentially_represented
YPR080W,YPR080W,1377,197,74435,18627.913465978123,13537.727809577125,preferentially_represented
YDL133C-A,YDL133C-A,78,11,2376,594.6117067933636,7722.229958355372,preferentially_represented
YLR121C,YLR121C,1527,214,1604,401.4129535759913,3974.385678970211,preferentially_represented
YKL060C,YKL060C,1080,139,67632,16925.412017613122,15686.202055248488,preferentially_represented
YDR418W,YDR418W,498,64,6711,1679.4777627484275,4526.89423921409,preferentially_represented
YMR116C,YMR116C,1233,148,23643,5916.836946008206,4802.627391240427,preferentially_represented
YOL039W,YOL039W,321,38,5752,1439.4808659408366,4498.377706065115,preferentially_represented
YDL229W,YDL229W,1842,201,36457,9123.635940473763,4955.804421767389,preferentially_represented
YPL142C,YPL142C,318,34,6564,1642.6899172523733,5181.987120669947,preferentially_represented
YDR382W,YDR382W,333,32,5807,1453.2450258203125,4377.24405367564,preferentially_represented
YNL178W,YNL178W,723,65,14607,3655.5106065364744,5063.03408107545,preferentially_represented
YGL123C-A,YGL123C-A,231,20,6719,1681.4798223672603,7310.781836379393,preferentially_represented
YOL040C,YOL040C,429,33,11348,2839.9215693144324,6635.330769426244,preferentially_represented
YDL228C,YDL228C,642,44,15530,3886.4982350593173,6063.17977388349,preferentially_represented
YOR167C,YOR167C,204,12,4315,1079.8609069079816,5319.511856689564,preferentially_represented
YGL123W,YGL123W,765,44,22067,5522.43120109813,7228.313090442578,preferentially_represented
YHR174W,YHR174W,1314,75,99932,25008.72772865085,19047.01274078511,preferentially_represented
YDL184C,YDL184C,78,4,1949,487.75177463815896,6334.438631664402,preferentially_represented
YBR031W,YBR031W,1089,53,18809,4707.092421328442,4326.3717107798175,preferentially_represented
YLR167W,YLR167W,459,21,25649,6418.8533954305485,14014.96374548155,preferentially_represented
YMR305C,YMR305C,1170,53,5693,1424.7156762519442,4070.616217862698,preferentially_represented
YAL038W,YAL038W,1503,60,70946,17754.765214714636,11820.749144284046,preferentially_represented
YKL056C,YKL056C,504,20,15550,3891.5033841063996,7736.587244744333,preferentially_represented
YOR369C,YOR369C,432,17,10679,2672.499333689533,6200.694509720494,preferentially_represented
YAL037C-B,YAL037C-B,975,38,46452,11624.959176753086,11935.276362169492,preferentially_represented
YIL018W,YIL018W,1165,45,23468,5873.0418918462365,5045.568635606733,preferentially_represented
YGR192C,YGR192C,999,37,147301,36863.17298921265,36937.04708337941,preferentially_represented
YJR123W,YJR123W,678,19,19165,4796.184074366504,7084.466874987451,preferentially_represented
YDR050C,YDR050C,747,19,11621,2908.2418538071042,3898.4475252105954,preferentially_represented
YDR077W,YDR077W,1017,24,35777,8953.460872872969,8812.461489048197,preferentially_represented
YDL130W,YDL130W,622,14,4493,1124.406733427013,4324.641282411589,preferentially_represented
YEL034C-A,YEL034C-A,603,13,19061,4770.157299321678,7923.84933442139,preferentially_represented
YPL250W-A,YPL250W-A,288,5,5161,1291.578711599558,4500.274256444453,preferentially_represented
YDL081C,YDL081C,321,4,6389,1598.8948630904042,4996.546447157513,preferentially_represented
YLR340W,YLR340W,939,10,19668,4922.063572900622,5247.402529744799,preferentially_represented
