category	region_id	feature	chrom	start	end	length	strand
telomere	TEL01L	telomere	I	0	801	801	-
telomere	TEL01L_telomeric_repeat	telomeric_repeat	I	0	62	62	-
gene	YAL069W	gene	I	334	649	315	+
gene	YAL068W-A	gene	I	537	792	255	+
Replication_origins	ARS102	ARS	I	706	776	70	.
gene	YAL068C	gene	I	1806	2169	363	-
gene	YAL067W-A	gene	I	2479	2707	228	+
gene	YAL067C	gene	I	7234	9016	1782	-
Replication_origins	ARS103	ARS	I	7996	8547	551	.
gene	YAL066W	gene	I	10090	10399	309	+
gene	YAL065C	gene	I	11564	11951	387	-
gene	YAL064W-B	gene	I	12045	12426	381	+
gene	YAL064C-A	gene	I	13362	13743	381	-
gene	YAL064W	gene	I	21565	21850	285	+
transposable_elements	YALWdelta1	long_terminal_repeat	I	22229	22552	323	+
gene	YAL063C-A	gene	I	22394	22685	291	-
gene	YAL063C	gene	I	23999	27968	3969	-
Replication_origins	ARS104	ARS	I	30945	31183	238	.
Replication_origins	ARS104_ARS_consensus_sequence	ARS_consensus_sequence	I	31001	31018	17	+
gene	YAL062W	gene	I	31566	32940	1374	+
gene	YAL061W	gene	I	33447	34701	1254	+
gene	YAL060W	gene	I	35154	36303	1149	+
gene	YAL059C-A	gene	I	36495	36918	423	-
gene	YAL059W	gene	I	36508	37147	639	+
gene	YAL058W	gene	I	37463	38972	1509	+
gene	YAL056C-A	gene	I	38695	39046	351	-
gene	YAL056W	gene	I	39258	41901	2643	+
Replication_origins	ARS105	ARS	I	41991	42151	160	.
gene	YAL055W	gene	I	42176	42719	543	+
gene	YAL054C	gene	I	42880	45022	2142	-
gene	YAL053W	gene	I	45898	48250	2352	+
gene	YAL051W	gene	I	48563	51707	3144	+
gene	YAL049C	gene	I	51854	52595	741	-
gene	YAL048C	gene	I	52800	54789	1989	-
gene	YAL047W-A	gene	I	54583	54913	330	+
gene	YAL047C	gene	I	54988	56857	1869	-
gene	YAL046C	gene	I	57028	57385	357	-
