chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,99304,99868,HRA1,0,+,33,564,564,7.82276310961968
V,117666,118035,RPR1,0,-,106,369,369,38.40650979268317
V,322211,322762,SRG1,0,+,80,551,551,19.411707171866027
V,441986,442508,SCR1,0,+,5,309,522,1.2806334592550503
VI,57814,58521,RUF21,0,-,249,707,707,47.08746132024128
VI,131060,131503,RUF20,0,-,95,443,443,28.67115722097424
VI,199298,199813,RUF22,0,-,50,515,515,12.980401276332742
VI,221713,221967,RUF23,0,+,13,254,254,6.842817838192733
VII,33108,35013,RME3,0,-,499,1905,1905,35.021190782135115
VII,141897,144120,RME2,0,-,125,2223,2223,7.517888728420336
VIII,212408,213118,RUF5-1,0,+,504,710,710,94.90684381084301
VIII,214406,215116,RUF5-2,0,+,566,710,710,106.58189205741496
IX,393883,397082,ICR1,0,-,6,701,3199,0.25076236288757847
IX,395998,396939,PWR1,0,+,2,232,941,0.2841618132757221
X,605935,607424,IRT1,0,-,18,883,1489,1.616229950726723
XIII,91969,92027,ZOD1,0,+,1,16,58,2.3051402266590904
XIII,667287,667456,RNA170,0,-,23,169,169,18.195603919309033
