chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,142366,142468,snR18,0,+,0,0,102,0.0
II,88189,88277,snR56,0,+,9,88,88,13.673672708136879
II,307184,307345,snR161,0,-,1,60,161,0.8304231872436475
III,107503,107712,snR43,0,-,1,1,209,0.6397039863455849
III,142363,142546,snR33,0,-,3,50,183,2.1917726745283157
III,177182,177282,snR65,0,+,61,100,100,81.55586121919862
III,178609,178798,snR189,0,-,65,189,189,45.98083944182419
IV,323216,323471,snR63,0,-,186,255,255,97.52099123607164
IV,541601,541700,snR47,0,-,39,99,99,52.66896154245316
IV,1402918,1403042,snR13,0,+,1,6,124,1.078210751179252
IV,1492476,1493026,snR84,0,-,7,469,550,1.701612603679256
V,52149,52320,snR80,0,-,4,171,171,3.12744171102286
V,61351,61433,snR67,0,+,1,62,82,1.630465038368625
V,61698,61789,snR53,0,+,3,91,91,4.4076307630624365
V,424697,424883,snR4,0,+,263,186,186,189.0462850400955
V,431128,431220,snR52,0,-,233,92,92,338.6050545985973
VII,316787,317055,snR82,0,+,22,268,268,10.975219885138058
VII,345985,346230,snR10,0,+,7,235,245,3.8199466613207784
VII,365162,365251,snR39,0,-,19,89,89,28.54229808739683
VII,366373,366469,snR39B,0,-,9,96,96,12.534199982458805
VII,545369,545566,snR46,0,+,1,47,197,0.6786707266305952
VII,609583,609696,snR48,0,+,3,98,113,3.5495079596343517
VIII,381539,381727,snR32,0,+,4,99,188,2.8446411307707926
VIII,411227,411317,snR71,0,+,263,90,90,390.6956557495308
IX,97110,97246,snR68,0,+,4,136,136,3.9322980337125664
X,139565,139691,snR128,0,-,19,126,126,20.16082960141522
X,139760,139950,snR190,0,-,29,190,190,20.40655716442416
X,228093,228479,snR37,0,-,38,386,386,13.161992382271077
X,349129,349233,snR60,0,-,11,104,104,14.141148698158652
X,663748,663942,snR3,0,+,20,194,194,13.783312695487346
XI,38810,38911,snR64,0,+,2,101,101,2.6474877850738068
XI,283184,283279,snR38,0,+,42,95,95,59.108648338332046
XI,364775,364876,snR69,0,+,13,101,101,17.208670602979744
XI,431029,431138,snR87,0,-,4,109,109,4.906353509953294
XI,559015,559366,snR42,0,-,54,351,351,20.56894356095804
XII,198783,199389,snR30,0,+,34,376,606,7.501215391042453
XII,348426,348510,snR79,0,-,21,84,84,33.424533286556816
XII,794485,794575,snR61,0,-,27,90,90,40.109439943868175
XII,794696,794794,snR55,0,-,22,98,98,30.01386662466326
XII,794936,795024,snR57,0,-,24,88,88,36.46312722169834
XII,856709,856920,snR44,0,+,38,211,211,24.078336775149932
XII,899179,899382,snR34,0,+,842,203,203,554.5508773848441
XIII,67767,67938,snR85,0,-,14,171,171,10.946045988580009
XIII,163534,163620,snR54,0,-,9,86,86,13.9916650966982
XIII,297277,297364,snR78,0,+,12,87,87,18.441121813272723
XIII,297505,297593,snR77,0,+,12,88,88,18.23156361084917
XIII,297724,297833,snR76,0,+,18,109,109,22.07859079478982
XIII,297917,298006,snR75,0,+,26,89,89,39.05788159327987
XIII,298137,298225,snR74,0,+,10,88,88,15.192969675707642
XIII,298306,298412,snR73,0,+,12,106,106,15.135637714667237
XIII,298553,298651,snR72,0,+,19,98,98,25.921066630391
XIII,499983,500072,snR24,0,-,17,89,89,25.53784565714453
XIII,626348,626654,snR83,0,+,100,306,306,43.69220037458407
XIII,652274,652532,snR11,0,+,26,258,258,13.473455278301971
XIII,762109,763113,snR86,0,-,109,1004,1004,14.515036367468895
XIV,89209,89306,snR40,0,+,0,0,97,0.0
XIV,585586,585926,NME1,0,+,203,340,340,79.8256500843651
XIV,586089,586175,snR66,0,+,87,86,86,135.25276260141595
XIV,716119,716284,snR49,0,+,7,147,165,5.672042012264186
XIV,721937,722211,snR191,0,-,188,274,274,91.7344855163895
XV,136087,136183,snR58,0,-,98,96,96,136.483510920107
XV,234345,234546,snR81,0,+,3,201,201,1.995494524570556
XV,259488,259578,snR50,0,+,4,83,90,5.942139250943433
XV,407947,408134,snR9,0,-,0,0,187,0.0
XV,409764,409864,snR62,0,-,23,100,100,30.750570623632267
XV,680684,680866,snR36,0,-,2,171,182,1.4692102543541457
XV,759325,759529,snR35,0,-,2,72,204,1.3107660112375221
XV,780106,780596,snR17a,0,+,182,490,490,49.65930659717012
XV,832331,832521,snR8,0,+,13,190,190,9.147767004741864
XV,841957,842182,snR31,0,-,8,225,225,4.753711400754747
XV,842402,842606,snR5,0,+,4,111,204,2.6215320224750442
XVI,173826,173904,snR59,0,+,12,78,78,20.56894356095804
XVI,281055,281517,snR17b,0,-,10,389,462,2.893898985849075
XVI,718699,718806,snR51,0,-,3,107,107,3.7485457891465583
XVI,718886,719050,snR70,0,-,13,164,164,10.598022749396062
XVI,719147,719242,snR41,0,-,19,95,95,26.73962662924545
XVI,821731,821903,snR45,0,+,1,143,172,0.7773147275943445
