chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,0,801,TEL01L,0,-,0,0,801,0.0
I,0,62,TEL01L_telomeric_repeat,0,-,0,0,62,0.0
I,229410,230218,TEL01R,0,+,2,19,808,0.33093597313422585
I,230120,230218,TEL01R_telomeric_repeat,0,+,0,0,98,0.0
II,0,6608,TEL02L,0,-,32,2980,6608,0.6474485866645387
II,812378,813184,TEL02R,0,+,2,282,806,0.33175715420900065
II,813137,813184,TEL02R_telomeric_repeat,0,+,0,0,47,0.0
III,0,1098,TEL03L,0,-,2,134,1098,0.24353029716981284
III,0,360,TEL03L_telomeric_repeat,0,-,1,77,360,0.3713837031839646
III,315782,316620,TEL03R,0,+,2,116,838,0.31908862326068554
III,316521,316620,TEL03R_telomeric_repeat,0,+,2,65,99,2.7009723867924698
IV,0,904,TEL04L,0,-,8,580,904,1.1831693198781172
IV,0,154,TEL04L_telomeric_repeat,0,-,2,110,154,1.736339391509445
IV,1524624,1531933,TEL04R,0,+,48,3350,7309,0.878028511563676
IV,1525370,1525466,TEL04R_telomeric_repeat,0,+,2,50,96,2.7853777738797345
V,0,6473,TEL05L,0,-,17,1608,6473,0.3511305829578037
V,569598,576874,TEL05R,0,+,43,3555,7276,0.7901346516338335
VI,0,5530,TEL06L,0,-,23,1758,5530,0.5560681848758096
VI,4684,4819,TEL06L_telomeric_repeat,0,-,4,127,135,3.961426167295622
VI,269730,270161,TEL06R,0,+,0,0,431,0.0
VI,270112,270161,TEL06R_telomeric_repeat,0,+,0,0,49,0.0
VII,0,781,TEL07L,0,-,1,71,781,0.1711883907121988
VII,0,34,TEL07L_telomeric_repeat,0,-,1,23,34,3.9322980337125664
VII,1083634,1090940,TEL07R,0,+,44,3578,7306,0.8051899614609909
VIII,0,5505,TEL08L,0,-,15,1349,5505,0.3643000903166955
VIII,0,34,TEL08L_telomeric_repeat,0,-,1,27,34,3.9322980337125664
VIII,556104,562643,TEL08R,0,+,28,2336,6539,0.572495447024677
VIII,556831,556985,TEL08R_telomeric_repeat_1,0,+,2,19,154,1.736339391509445
VIII,562456,562643,TEL08R_telomeric_repeat_2,0,+,1,110,187,0.7149632788568302
IX,0,7784,TEL09L,0,-,1146,3522,7784,19.683717958064804
IX,0,77,TEL09L_telomeric_repeat,0,-,1,4,77,1.736339391509445
IX,439067,439888,TEL09R,0,+,0,0,821,0.0
IX,439815,439888,TEL09R_telomeric_repeat,0,+,0,0,73,0.0
X,0,7767,TEL10L,0,-,1167,4421,7767,20.088286517528932
X,0,60,TEL10L_telomeric_repeat,0,-,0,0,60,0.0
X,744901,745751,TEL10R,0,+,20,812,850,3.145838426970053
X,745662,745751,TEL10R_telomeric_repeat,0,+,2,82,89,3.004452430252298
XI,0,807,TEL11L,0,-,0,0,807,0.0
XI,0,67,TEL11L_telomeric_repeat,0,-,0,0,67,0.0
XI,665903,666816,TEL11R,0,+,0,0,913,0.0
XI,666608,666816,TEL11R_telomeric_repeat,0,+,0,0,208,0.0
XII,0,12085,TEL12L,0,-,47,4370,12085,0.5199679154218189
XII,0,75,TEL12L_telomeric_repeat_1,0,-,0,0,75,0.0
XII,5661,5723,TEL12L_telomeric_repeat_2,0,-,1,60,62,2.156421502358504
XII,11196,11358,TEL12L_telomeric_repeat_3,0,-,0,0,162,0.0
XII,1064280,1078177,TEL12R,0,+,77,6804,13897,0.7407898289026048
XII,1065030,1065155,TEL12R_telomeric_repeat_1,0,+,2,125,125,2.139170130339636
XII,1071645,1071653,TEL12R_telomeric_repeat_2,0,+,0,0,8,0.0
XIII,0,6344,TEL13L,0,-,12,1346,6344,0.2528968470609595
XIII,0,51,TEL13L_telomeric_repeat_1,0,-,0,0,51,0.0
XIII,5537,5585,TEL13L_telomeric_repeat_2,0,-,0,0,48,0.0
XIII,923540,924431,TEL13R,0,+,2,38,891,0.3001080429769411
XIII,924306,924431,TEL13R_telomeric_repeat,0,+,0,0,125,0.0
XIV,0,7428,TEL14L,0,-,41,3402,7428,0.737967616989138
XIV,6617,6691,TEL14L_telomeric_repeat,0,-,0,0,74,0.0
XIV,783277,784333,TEL14R,0,+,8,549,1056,1.012864645047176
XIV,784037,784333,TEL14R_telomeric_repeat,0,+,5,215,296,2.2584144112538387
XV,0,847,TEL15L,0,-,0,0,847,0.0
XV,0,117,TEL15L_telomeric_repeat,0,-,0,0,117,0.0
XV,1083921,1091291,TEL15R,0,+,75,4387,7370,1.3605644485708337
XV,1091273,1091291,TEL15R_telomeric_repeat,0,+,1,13,18,7.427674063679292
XVI,0,7223,TEL16L,0,-,72,4476,7223,1.3327240186249982
XVI,942395,948010,TEL16R,0,+,174,2517,5615,4.143094419847469
