chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,334,649,YAL069W,0,+,0,0,315,0.0
I,537,792,YAL068W-A,0,+,0,0,255,0.0
I,1806,2169,YAL068C,0,-,0,0,363,0.0
I,2479,2707,YAL067W-A,0,+,5,210,228,2.931976604083931
I,7234,9016,YAL067C,0,-,209,1782,1782,15.680645245545172
I,10090,10399,YAL066W,0,+,65,309,309,28.12420276538761
I,11564,11951,YAL065C,0,-,12,368,387,4.145678547169838
I,12045,12426,YAL064W-B,0,+,17,381,381,5.965533499962896
I,13362,13743,YAL064C-A,0,-,16,381,381,5.614619764670961
I,21565,21850,YAL064W,0,+,0,0,285,0.0
I,22394,22685,YAL063C-A,0,-,32,20,291,14.702200208519836
I,23999,27968,YAL063C,0,-,12,898,3969,0.40422715992812475
I,31566,32940,YAL062W,0,+,1,150,1374,0.09730577375999072
I,33447,34701,YAL061W,0,+,1,21,1254,0.10661733105759749
I,35154,36303,YAL060W,0,+,17,1051,1149,1.978127296332344
I,36495,36918,YAL059C-A,0,-,22,423,423,6.953567208550826
I,36508,37147,YAL059W,0,+,29,639,639,6.067677404132379
I,37463,38972,YAL058W,0,+,72,1509,1509,6.379234981132115
I,38695,39046,YAL056C-A,0,-,15,351,351,5.713595433599456
I,39258,41901,YAL056W,0,+,97,2466,2643,4.90681759938859
I,42176,42719,YAL055W,0,+,6,455,543,1.4773274380798591
I,42880,45022,YAL054C,0,-,19,1613,2142,1.1859311530244248
I,45898,48250,YAL053W,0,+,18,1216,2352,1.0231999985680658
I,48563,51707,YAL051W,0,+,96,2870,3144,4.08238574492297
I,51854,52595,YAL049C,0,-,20,741,741,3.608586589641761
I,52800,54789,YAL048C,0,-,40,850,1989,2.6887507922820966
I,54583,54913,YAL047W-A,0,+,55,330,330,22.283022191037876
I,54988,56857,YAL047C,0,-,585,1869,1869,41.84773027851415
I,57028,57385,YAL046C,0,-,104,357,357,38.94847576248637
I,57487,57796,YAL045C,0,-,124,309,309,53.65232527550867
I,57517,57850,YAL044W-A,0,+,124,333,333,49.785491021417954
I,57949,58462,YAL044C,0,-,151,513,513,39.353641530370986
I,58694,61052,YAL043C,0,-,1017,2358,2358,57.663698647036945
I,61230,61608,YAL042C-A,0,-,239,378,378,84.53400481996908
I,61315,62563,YAL042W,0,+,772,1248,1248,82.70429390135212
I,62839,65404,YAL041W,0,+,1725,2565,2565,89.91394919190722
I,65777,67520,YAL040C,0,-,729,1743,1743,55.9184963072861
I,68715,69525,YAL039C,0,-,20,757,810,3.301188472746352
