chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
Mito,730,802,tP%28UGG%29Q,0,+,1767,72,72,3281.175017630327
Mito,9373,9447,tW%28UCA%29Q,0,+,1228,74,74,2218.6663176157713
Mito,35372,35444,tE%28UUC%29Q,0,+,3863,72,72,7173.276226998276
Mito,48200,48290,tS%28UGA%29Q2,0,+,865,90,90,1284.9876130165176
Mito,63861,63937,tT%28UGU%29Q1,0,+,2322,76,76,4084.8298048097327
Mito,64414,64490,tC%28GCA%29Q,0,+,1987,76,76,3495.5025073888623
Mito,64595,64670,tH%28GUG%29Q,0,+,1423,75,75,2536.6992462277517
Mito,66094,66179,tL%28UAA%29Q,0,+,1378,85,85,2167.4826761823665
Mito,66209,66285,tQ%28UUG%29Q,0,+,1387,76,76,2439.9909299186475
Mito,67060,67134,tK%28UUU%29Q,0,+,1562,74,74,2822.114648302797
Mito,67308,67381,tR%28UCU%29Q1,0,+,2270,73,73,4157.462496464875
Mito,67467,67542,tG%28UCC%29Q,0,+,2086,75,75,3718.5907432404006
Mito,68321,68396,tD%28GUC%29Q,0,+,2553,75,75,4551.084452297576
Mito,69202,69288,tS%28GCU%29Q1,0,+,2624,86,86,4079.34769041512
Mito,69288,69362,tR%28ACG%29Q2,0,+,2446,74,74,4419.265319941512
Mito,69845,69921,tA%28UGC%29Q,0,+,1993,76,76,3506.0576231635646
Mito,70161,70237,tI%28GAU%29Q,0,+,2417,76,76,4251.952471242516
Mito,70823,70907,tY%28GUA%29Q,0,+,2381,84,84,3789.705416918656
Mito,71432,71503,tN%28GUU%29Q,0,+,2839,71,71,5346.042253551256
Mito,72629,72705,tM%28CAU%29Q1,0,+,4182,76,76,7356.9156949674
Mito,77430,77505,tF%28GAA%29Q,0,+,1957,75,75,3488.62995422889
Mito,78088,78162,tT%28UAG%29Q2,0,-,1665,74,74,3008.2079957901133
Mito,78532,78608,tV%28UAC%29Q,0,+,1928,76,76,3391.710535604291
Mito,85034,85112,tM%28CAU%29Q2,0,+,1621,78,78,2778.521459359415
