chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,706,776,ARS102,0,.,0,0,70,0.0
I,7996,8547,ARS103,0,.,79,551,551,19.1690608322177
I,30945,31183,ARS104,0,.,0,0,238,0.0
I,31001,31018,ARS104_ARS_consensus_sequence,0,+,0,0,17,0.0
I,41991,42151,ARS105,0,.,3,160,160,2.506839996491761
I,70299,70469,ARS106,0,.,8,170,170,6.291676853940106
I,70417,70434,ARS106_ARS_consensus_sequence,0,-,5,17,17,39.322980337125664
I,124348,124597,ARS107,0,.,6,249,249,3.2216417625596927
I,124462,124479,ARS107_ARS_consensus_sequence,0,-,2,17,17,15.729192134850265
I,147397,147717,ARS108,0,.,7,320,320,2.9246466625737213
I,159906,160127,ARS109,0,.,12,221,221,7.259627139161661
I,159934,159945,ARS109_ARS_consensus_sequence_1,0,-,3,11,11,36.46312722169834
I,159951,159966,ARS109_ARS_consensus_sequence_2,0,+,4,15,15,35.6528355056606
I,176156,176404,ARS110,0,.,0,0,248,0.0
I,176231,176248,ARS110_ARS_consensus_sequence,0,+,0,0,17,0.0
I,214887,215644,ARS111,0,.,177,757,757,31.26099018082196
I,215011,215028,ARS111_ARS_consensus_sequence,0,-,30,17,17,235.93788202275397
I,222879,224046,ARS112,0,.,10,601,1167,1.1456566679196851
II,39,202,ARS200,0,.,6,19,163,4.921403674094255
II,6497,6620,ARS201,0,.,1,90,123,1.08697669224575
II,28941,29160,ARS230,0,.,61,219,219,37.24011927817289
II,63258,63381,ARS202,0,.,4,123,123,4.347906768983
II,93434,93519,ARS203,0,.,12,85,85,18.875030561820317
II,143657,143745,ARS206,0,.,87,88,88,132.1788361786565
II,170172,170279,ARS207,0,.,25,107,107,31.23788157622132
II,170206,170223,ARS207_ARS_consensus_sequence,0,-,12,17,17,94.37515280910159
II,198312,198473,ARS231,0,.,8,161,161,6.64338549794918
II,198368,198385,ARS231_ARS_consensus_sequence,0,-,3,17,17,23.593788202275398
II,237786,237900,ARS208,0,.,1,30,114,1.1727906416335725
II,237818,237835,ARS208_ARS_consensus_sequence,0,-,0,0,17,0.0
II,254997,255083,ARS209,0,.,43,86,86,66.84906657311363
II,255024,255041,ARS209_ARS_consensus_sequence,0,-,31,17,17,243.8024780901791
II,326139,326375,ARS211,0,.,12,236,236,6.798210159977657
II,326152,326169,ARS211_ARS_consensus_sequence,0,+,4,17,17,31.45838426970053
II,379220,379912,ARS212,0,.,2,138,692,0.38641078943996315
II,389211,390371,ARS213,0,.,8,807,1160,0.9220560906636363
II,407952,408068,ARS214,0,.,8,116,116,9.220560906636361
II,407987,408004,ARS214_ARS_consensus_sequence,0,-,6,17,17,47.187576404550796
II,417783,418079,ARS215,0,.,43,296,296,19.422363936783015
II,486706,486954,ARS216,0,.,4,248,248,2.156421502358504
II,486842,486859,ARS216_ARS_consensus_sequence,0,-,3,17,17,23.593788202275398
II,517184,517386,ARS217,0,.,20,202,202,13.237438925369036
II,517246,517263,ARS217_ARS_consensus_sequence,0,-,10,17,17,78.64596067425133
II,622670,622939,ARS220,0,.,2,201,269,0.9940381646559647
II,631938,632251,ARS221,0,.,23,313,313,9.824463458029479
II,632004,632021,ARS221_ARS_consensus_sequence,0,+,8,17,17,62.91676853940106
II,704295,704566,ARS222,0,.,11,271,271,5.4268614930202945
II,741680,741797,ARS224,0,.,16,117,117,18.283505387518257
II,741725,741742,ARS224_ARS_consensus_sequence,0,-,12,17,17,94.37515280910159
II,757436,757667,ARS225,0,.,12,231,231,6.94535756603778
II,792217,792310,ARS228,0,.,111,93,93,159.5751911745293
III,988,1068,ARS300,0,.,0,0,80,0.0
III,1049,1060,ARS300_ARS_consensus_sequence,0,-,0,0,11,0.0
III,11145,11401,ARS301,0,.,2,176,256,1.0445166652049005
III,11256,11267,ARS301_ARS_consensus_sequence,0,+,1,11,11,12.154375740566113
III,14574,14849,ARS302,0,.,1,150,275,0.48617502962264453
