chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,151464,151582,CEN1,0,+,7,118,118,7.9312451866405995
I,151464,151474,CEN1_centromere_DNA_Element_I,0,+,2,10,10,26.73962662924545
I,151474,151557,CEN1_centromere_DNA_Element_II,0,+,7,83,83,11.275746168958925
I,151557,151582,CEN1_centromere_DNA_Element_III,0,+,2,25,25,10.69585065169818
II,238206,238323,CEN2,0,+,7,20,117,7.999033607039237
II,238206,238216,CEN2_centromere_DNA_Element_I,0,+,0,0,10,0.0
II,238216,238298,CEN2_centromere_DNA_Element_II,0,+,0,0,82,0.0
II,238298,238323,CEN2_centromere_DNA_Element_III,0,+,7,20,25,37.43547728094363
III,114384,114501,CEN3,0,+,4,76,117,4.570876346879564
III,114384,114394,CEN3_centromere_DNA_Element_I,0,+,0,0,10,0.0
III,114394,114476,CEN3_centromere_DNA_Element_II,0,+,4,51,82,6.5218601534745
III,114476,114501,CEN3_centromere_DNA_Element_III,0,+,2,25,25,10.69585065169818
IV,449710,449821,CEN4,0,+,33,111,111,39.74809363806756
IV,449710,449720,CEN4_centromere_DNA_Element_I,0,+,21,10,10,280.76607960707724
IV,449720,449796,CEN4_centromere_DNA_Element_II,0,+,28,76,76,49.25720694861004
IV,449796,449821,CEN4_centromere_DNA_Element_III,0,+,16,25,25,85.56680521358544
V,151986,152104,CEN5,0,+,4,118,118,4.532140106651771
V,151986,151996,CEN5_centromere_DNA_Element_I,0,+,3,10,10,40.109439943868175
V,151996,152079,CEN5_centromere_DNA_Element_II,0,+,4,83,83,6.443283525119385
V,152079,152104,CEN5_centromere_DNA_Element_III,0,+,2,25,25,10.69585065169818
VI,148509,148627,CEN6,0,+,2,110,118,2.2660700533258855
VI,148509,148519,CEN6_centromere_DNA_Element_I,0,+,2,10,10,26.73962662924545
VI,148519,148602,CEN6_centromere_DNA_Element_II,0,+,2,83,83,3.2216417625596927
VI,148602,148627,CEN6_centromere_DNA_Element_III,0,+,1,17,25,5.34792532584909
VII,496919,497038,CEN7,0,-,4,119,119,4.494054895671504
VII,497028,497038,CEN7_centromere_DNA_Element_I,0,-,2,10,10,26.73962662924545
VII,496944,497028,CEN7_centromere_DNA_Element_II,0,-,3,84,84,4.774933326650974
VII,496919,496944,CEN7_centromere_DNA_Element_III,0,-,2,25,25,10.69585065169818
VIII,105585,105703,CEN8,0,-,78,118,118,88.37673207970954
VIII,105693,105703,CEN8_centromere_DNA_Element_I,0,-,43,10,10,574.9019725287772
VIII,105610,105693,CEN8_centromere_DNA_Element_II,0,-,62,83,83,99.87089463935048
VIII,105585,105610,CEN8_centromere_DNA_Element_III,0,-,51,25,25,272.7441916183036
IX,355628,355745,CEN9,0,+,39,117,117,44.56604438207575
IX,355628,355638,CEN9_centromere_DNA_Element_I,0,+,20,10,10,267.3962662924545
IX,355638,355720,CEN9_centromere_DNA_Element_II,0,+,33,82,82,53.80534626616463
IX,355720,355745,CEN9_centromere_DNA_Element_III,0,+,26,25,25,139.04605847207634
X,436306,436425,CEN10,0,-,1,76,119,1.123513723917876
X,436415,436425,CEN10_centromere_DNA_Element_I,0,-,1,10,10,13.369813314622725
X,436331,436415,CEN10_centromere_DNA_Element_II,0,-,1,66,84,1.591644442216991
X,436306,436331,CEN10_centromere_DNA_Element_III,0,-,0,0,25,0.0
XI,440128,440246,CEN11,0,-,31,118,118,35.12408582655123
XI,440236,440246,CEN11_centromere_DNA_Element_I,0,-,16,10,10,213.9170130339636
XI,440153,440236,CEN11_centromere_DNA_Element_II,0,-,24,83,83,38.659701150716316
XI,440128,440153,CEN11_centromere_DNA_Element_III,0,-,19,25,25,101.61058119113271
XII,150827,150947,CEN12,0,-,2,120,120,2.2283022191037873
XII,150937,150947,CEN12_centromere_DNA_Element_I,0,-,2,10,10,26.73962662924545
XII,150852,150937,CEN12_centromere_DNA_Element_II,0,-,2,85,85,3.145838426970053
XII,150827,150852,CEN12_centromere_DNA_Element_III,0,-,2,25,25,10.69585065169818
XIII,268030,268149,CEN13,0,+,0,0,119,0.0
XIII,268030,268040,CEN13_centromere_DNA_Element_I,0,+,0,0,10,0.0
XIII,268040,268124,CEN13_centromere_DNA_Element_II,0,+,0,0,84,0.0
XIII,268124,268149,CEN13_centromere_DNA_Element_III,0,+,0,0,25,0.0
XIV,628757,628875,CEN14,0,+,22,118,118,24.92677058658474
XIV,628757,628767,CEN14_centromere_DNA_Element_I,0,+,14,10,10,187.17738640471816
XIV,628767,628850,CEN14_centromere_DNA_Element_II,0,+,20,83,83,32.216417625596925
XIV,628850,628875,CEN14_centromere_DNA_Element_III,0,+,12,25,25,64.17510391018908
XV,326583,326702,CEN15,0,-,31,119,119,34.82892544145416
XV,326692,326702,CEN15_centromere_DNA_Element_I,0,-,21,10,10,280.76607960707724
XV,326608,326692,CEN15_centromere_DNA_Element_II,0,-,29,84,84,46.15768882429274
XV,326583,326608,CEN15_centromere_DNA_Element_III,0,-,17,25,25,90.91473053943453
XVI,555956,556073,CEN16,0,+,13,117,117,14.855348127358583
XVI,555956,555966,CEN16_centromere_DNA_Element_I,0,+,11,10,10,147.06794646084998
XVI,555966,556048,CEN16_centromere_DNA_Element_II,0,+,13,82,82,21.196045498792124
XVI,556048,556073,CEN16_centromere_DNA_Element_III,0,+,9,25,25,48.13132793264181
