chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM,abundance,
XII,455882,456023,YLR154W-F,0,+,2296,141,141,2177.098679,preferentially_represented,382.6801415
XII,452437,452623,YLR154W-A,0,+,2975,186,186,2138.451323,preferentially_represented,
XII,454391,454556,YLR154W-B,0,+,2568,165,165,2080.829127,preferentially_represented,
XII,462521,462671,YLR154C-G,0,-,2226,150,150,1984.080296,preferentially_represented,
II,434405,435698,YBR095C,0,-,18307,1293,1293,1892.971171,preferentially_represented,
II,432035,434297,YBR094W,0,+,29375,2262,2262,1736.24344,preferentially_represented,
VII,355826,356972,YGL082W,0,+,14635,1021,1146,1707.392826,preferentially_represented,
XII,455432,455636,YLR154W-E,0,+,2564,204,204,1680.402026,preferentially_represented,
XIV,774791,776300,YNR073C,0,-,17880,1509,1509,1584.176687,preferentially_represented,
XIV,534078,534982,YNL050C,0,-,10459,904,904,1546.84599,preferentially_represented,
II,436020,436713,YBR096W,0,+,7953,693,693,1534.345242,preferentially_represented,
XIV,532658,533870,YNL051W,0,+,12855,1212,1212,1418.060645,preferentially_represented,
XII,454695,455070,YLR154W-C,0,+,3873,375,375,1380.834319,preferentially_represented,
VIII,74698,74782,YHL015W-A,0,+,845,84,84,1344.939554,preferentially_represented,
XIV,772656,774351,YNR072W,0,+,14147,1695,1695,1115.886425,preferentially_represented,
XIV,531724,532186,YNL052W,0,+,3510,462,462,1015.758544,preferentially_represented,
VII,789030,790329,YGR149W,0,+,9754,1299,1299,1003.919623,preferentially_represented,
IV,1489402,1489492,YDR524W-C,0,+,673,87,90,999.764929,preferentially_represented,
XIII,789377,789839,YMR260C,0,-,3050,462,462,882.6391907,preferentially_represented,
XIV,770439,771468,YNR071C,0,-,6724,1029,1029,873.6503861,preferentially_represented,
XIV,538172,539819,YNL048W,0,+,10752,1647,1647,872.8125851,preferentially_represented,
IV,254934,255048,YDL114W-A,0,+,717,114,114,840.8908901,preferentially_represented,
VIII,75411,75777,YHL015W,0,+,2246,366,366,820.4535712,preferentially_represented,
XIII,782619,784281,YMR258C,0,-,9379,1662,1662,754.4854337,preferentially_represented,
XIV,535280,537911,YNL049C,0,-,14740,2631,2631,749.034771,preferentially_represented,
VII,790458,793053,YGR150C,0,-,13861,2595,2595,714.1386603,preferentially_represented,
XIV,777601,778738,YNR074C,0,-,5919,1137,1137,696.0063765,preferentially_represented,
XIII,725933,731123,YMR229C,0,-,25482,5190,5190,656.4346491,preferentially_represented,
II,436950,441315,YBR097W,0,+,21094,4365,4365,646.10044,preferentially_represented,
XVI,453429,453735,YPL056C,0,-,1407,306,306,614.7492593,preferentially_represented,
VII,787311,788178,YGR148C,0,-,3815,867,867,588.3026274,preferentially_represented,
IV,253994,255126,YDL115C,0,-,4673,1132,1132,551.9181768,preferentially_represented,
VII,794654,794990,YGR151C,0,-,1341,336,336,533.5987993,preferentially_represented,
XIV,779915,781040,YNR075W,0,+,4349,1125,1125,516.847272,preferentially_represented,
XVI,453991,454990,YPL055C,0,-,3767,999,999,504.1450126,preferentially_represented,
VIII,72036,74244,YHL016C,0,-,8217,2208,2208,497.5532428,preferentially_represented,
XII,634251,636084,YLR248W,0,+,6816,1833,1833,497.1557422,preferentially_represented,
XII,628683,633354,YLR247C,0,-,17205,4671,4671,492.4590839,preferentially_represented,
VIII,76096,77314,YHL014C,0,-,4431,1218,1218,486.3845878,preferentially_represented,
XIII,784620,788883,YMR259C,0,-,15402,4263,4263,483.0444867,preferentially_represented,
VII,698598,698832,YGR105W,0,+,842,234,234,481.0847355,preferentially_represented,
VII,261579,261915,YGL132W,0,+,1205,336,336,479.4828882,preferentially_represented,
XII,822286,822592,YLR346C,0,-,1080,306,306,471.875764,preferentially_represented,
XII,624202,625021,YLR243W,0,+,2878,819,819,469.8207902,preferentially_represented,
VII,695416,697234,YGR103W,0,+,6327,1818,1818,465.2959782,preferentially_represented,
XVI,455758,456664,YPL054W,0,+,3098,906,906,457.1708791,preferentially_represented,
XVI,451908,453057,YPL057C,0,-,3915,1149,1149,455.5510803,preferentially_represented,
IV,255603,256530,YDL114W,0,+,3148,927,927,454.0255913,preferentially_represented,
VIII,70275,71874,YHL017W,0,+,5259,1599,1599,439.7238788,preferentially_represented,
XIV,412683,413055,YNL114C,0,-,1216,372,372,437.0347578,preferentially_represented,
VII,794673,795492,YGR152C,0,-,2647,819,819,432.1110604,preferentially_represented,
XIV,412770,413199,YNL113W,0,+,1380,429,429,430.0779108,preferentially_represented,
XII,898157,898821,YLR388W,0,+,2134,664,664,429.6864701,preferentially_represented,
X,65804,66086,YJL197C-A,0,-,904,282,282,428.592597,preferentially_represented,
VII,697444,698368,YGR104C,0,-,2940,924,924,425.4031509,preferentially_represented,
XI,109268,110129,YKL180W,0,+,2675,861,861,415.3803788,preferentially_represented,
V,358104,359061,YER099C,0,-,2943,957,957,411.1531932,preferentially_represented,
XVI,220166,222773,YPL174C,0,-,7899,2607,2607,405.0945737,preferentially_represented,
XIII,733267,733456,YMR230W-A,0,+,572,189,189,404.6313871,preferentially_represented,
IV,251565,253746,YDL116W,0,+,6558,2181,2181,402.0139189,preferentially_represented,
VIII,77429,78353,YHL013C,0,-,2767,924,924,400.3709247,preferentially_represented,
VII,694583,695135,YGR102C,0,-,1647,552,552,398.9145386,preferentially_represented,
XII,468826,468958,YLR154C-H,0,-,388,104,132,392.9914823,preferentially_represented,
