chr,start,end,name,score,strand,reads,bases_covered,region_length,FPKM
I,218139,219145,YAR061W,0,+,30,1006,1006,3.987021863207572
III,2125,2566,YCL075W,0,+,1,111,441,0.30317036994609353
III,2823,3750,YCL074W,0,+,3,245,927,0.43268004254442477
VI,14304,15431,YFL056C,0,-,18,996,1127,2.1353739100550935
IX,9182,9500,YIL175W,0,+,14,318,318,5.886081333481703
IX,9468,9696,YIL174W,0,+,27,228,228,15.832673662053228
IX,19514,19844,YIL171W,0,+,0,0,330,0.0
IX,19846,21220,YIL170W,0,+,424,740,1374,41.257648074236066
XII,112233,112545,YLL017W,0,+,2,93,312,0.8570393150399183
XII,112846,115993,YLL016W,0,+,74,2852,3147,3.1438391651797954
XVI,17947,18385,YPL276W,0,+,4,179,438,1.2209875173171438
XVI,18368,19079,YPL275W,0,+,8,489,711,1.5043390508717553
